time_s,flow_m3_s,pressure_Pa
3.618984596919383456e-01,3.798655402084901870e-05,2.698874017986228573e+05
3.626635727145428589e-01,3.750910137946180805e-05,2.698866687721488415e+05
3.634286857371473722e-01,3.695703051897124644e-05,2.698859218960141880e+05
3.641937987597518855e-01,3.633438946035642901e-05,2.698851579048583517e+05
3.649589117823568429e-01,3.564522622459603075e-05,2.698843734926531324e+05
3.657240248049613562e-01,3.489358883266999384e-05,2.698835653127023252e+05
3.664891378275658695e-01,3.408352530555703393e-05,2.698827299776420696e+05
3.672542508501703828e-01,3.321908366423624614e-05,2.698818640594406170e+05
3.680193638727748962e-01,3.230431192968675948e-05,2.698809640893985052e+05
3.687844768953794095e-01,3.134325812288768265e-05,2.698800265581483836e+05
3.695495899179839228e-01,3.033997026481811415e-05,2.698790530169341364e+05
3.703147029405884361e-01,2.929849637645717621e-05,2.698780632405570941e+05
3.710798159631929494e-01,2.822288447878396736e-05,2.698770579551500268e+05
3.718449289857974627e-01,2.711718259277760306e-05,2.698760356348284986e+05
3.726100420084019760e-01,2.598543873941719875e-05,2.698749952062111697e+05
3.733751550310064893e-01,2.483170093968184618e-05,2.698739360484192730e+05
3.741402680536110026e-01,2.366001721455067436e-05,2.698728579930769047e+05
3.749053810762155159e-01,2.247443558500278858e-05,2.698717613243112573e+05
3.756704940988200292e-01,2.127900407201729075e-05,2.698706467787519796e+05
3.764356071214245425e-01,2.007777069657328955e-05,2.698695155455318163e+05
3.772007201440290558e-01,1.887478347964991059e-05,2.698683692662863177e+05
3.779658331666335691e-01,1.767409044222624563e-05,2.698672100351537229e+05
3.787309461892380824e-01,1.647973960528142028e-05,2.698660403987752507e+05
3.794960592118425957e-01,1.529577898979453306e-05,2.698648633562949835e+05
3.802611722344471090e-01,1.412625661674469266e-05,2.698636823593596928e+05
3.810262852570516223e-01,1.297522050711101621e-05,2.698625013121191296e+05
3.817913982796561356e-01,1.184671868187260901e-05,2.698613245712257922e+05
3.825565113022606489e-01,1.074448068255923764e-05,2.698601488296647440e+05
3.833216243248651622e-01,9.669635623340362270e-06,2.698589607674546423e+05
3.840867373474696755e-01,8.622043057060022883e-06,2.698577653688736027e+05
3.848518503700741888e-01,7.601553947724679999e-06,2.698565688005855191e+05
3.856169633926787021e-01,6.608019259340803461e-06,2.698553776817571488e+05
3.863820764152832155e-01,5.641289955914856333e-06,2.698541983572235331e+05
3.871471894378877288e-01,4.701217001453306761e-06,2.698530215024487115e+05
3.879123024604922421e-01,3.787651359962618235e-06,2.698518432299317792e+05
3.886774154830967554e-01,2.900443995449255088e-06,2.698506651307588909e+05
3.894425285057012687e-01,2.039445871919683776e-06,2.698494887168398709e+05
